# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 1938+46 b,Confirmed,1.9,0.1,0.1,,,,,,,416.0,2.0,2.0,0.92,0.02,0.02,,,,,,,,2015,2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,TTV,,Kepler-451 b,,2M  1938+46,294.637500011,46.066388903,,,,,,,,,,,,0.6,0.03,0.03,,,,sdB+M,,,,,,,,,Kepler-451
HAT-P-7 b,Confirmed,1.741,0.028,0.028,,,,1.431,0.011,0.011,2.204735471,2.4e-06,2.4e-06,0.0379,0.0004,0.0004,0.0,,,81.1,0.09,0.09,0.000118,2008,2020-04-20,,,,,,,,,,2454731.68039,0.00023,0.00023,,,,,,,0.497,0.001,0.001,,,,,,,2121.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,Kepler-2 b,"Al2O3, CaTiO3, TiO2",HAT-P-7,292.2458333,47.9694444,10.5,,,,,320.0,40.0,40.0,0.13,,,1.51,0.05,0.04,2.0,0.02,0.01,,2.07,0.23,0.28,6259.0,32.0,32.0,,,
KIC 6185331 b,Confirmed,,,,,,,0.529,0.047,0.07,49.76971,0.00039,0.00039,0.2672,0.0036,0.0036,,,,89.2,0.21,0.21,,2011,2019-06-13,,,,,,,,,,2454992.9877,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,Kepler-943 b,,KIC 6185331,284.275,41.535,15.0,,,,,,,,0.11,0.15,0.15,1.027,0.042,0.042,1.27,0.17,0.17,,8.7,1.5,1.5,5619.0,80.0,80.0,,,
KOI-1089.02,Candidate,0.64,0.0,0.64,,,,0.625,0.083,0.083,12.21826,1e-05,1e-05,,,,0.5,0.0,0.5,87.6,0.44,0.44,,2014,2018-07-23,3.48,0.55,0.55,,,,,,,2454973.32089,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-418,294.433333348,38.355555567,15.0,,,,,,,,-0.05,0.1,0.1,0.98,0.08,0.08,1.094,0.14,0.14,,7.0,3.0,4.0,5820.0,100.0,100.0,,,
KOI-1843.03,Candidate,0.00138,0.0005,0.0012,,,,0.0544,0.0071,0.0107,0.1769,,,0.0048,,,,,,,,,,2012,2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,Kepler-974,285.013102,40.220753,,,11.951,11.279,11.056,121.0,,,0.07,0.08,0.077,0.52,0.02,0.02,0.5,0.02,0.02,,,,,3687.0,36.96,38.83,,,
KOI-188 b,Confirmed,0.25,0.08,0.08,0.25,0.08,0.08,0.978,0.022,0.022,3.79701816,1.9e-07,1.9e-07,0.0464,0.0008,0.0008,0.33,0.0,0.33,87.02,0.08,0.08,,2014,2020-03-23,,,,,,,,,,2454966.50879,3.9e-05,3.9e-05,,,,,,,0.602,,,,,,34.0,10.0,10.0,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-425 b,,KOI-188,290.358333342,40.56777779,15.0,,,,,650.0,20.0,20.0,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.025,0.025,K1V,5.0,4.0,4.0,5170.0,70.0,70.0,,,
KOI-192 b,Confirmed,0.29,0.09,0.09,0.29,0.09,0.09,1.23,0.21,0.21,10.290994,1.1e-06,1.1e-06,0.091,0.01,0.01,0.57,0.0,0.57,89.5,0.45,0.45,,2014,2020-03-23,,,,,,,,,,2454970.02207,9e-05,9e-05,,,,,,,,0.09,0.09,,,,29.8,9.1,9.1,1100.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-4ee b,,KOI-192,288.254166667,43.705000018,14.5,,,,,1100.0,150.0,150.0,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,G2V,7.0,4.0,4.0,5800.0,70.0,70.0,,,
KOI-195 b,Confirmed,0.34,0.08,0.08,0.34,0.08,0.08,1.09,0.03,0.03,3.21751883,1.9e-07,1.9e-07,0.0414,0.001,0.001,0.18,0.0,0.18,85.74,0.06,0.06,,2014,2020-03-23,,,,,,,,,,2454966.63196,4.7e-05,4.7e-05,,,,,,,0.718,0.007,0.007,,,,50.0,10.0,10.0,1300.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-426 b,,KOI-195,289.433333348,49.473333348,15.0,,,,,880.0,30.0,30.0,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.025,0.025,G1V,6.0,4.0,4.0,5725.0,90.0,90.0,,,
KOI-456.04,Candidate,,,,,,,0.1704,0.0125,0.0152,378.417,0.025,0.028,,,,,,,,,,,2020,2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-160,287.77359015,42.869286,,,13.46,13.101,13.052,,,,-0.361,,,,,,0.88,0.43,0.43,,,,,5857.0,200.0,200.0,,,
Kepler-10 b,Confirmed,0.01048,0.00154,0.00154,,,,0.1311,0.0018,0.0027,0.83749026,2.9e-07,2.9e-07,0.01685,0.00013,0.00013,0.06,0.06,0.16,84.8,3.9,3.9,9.7e-05,2011,2018-11-19,,,,,,,,,,2455034.08687,0.00018,0.00018,,,,,,,,,,,,,,,,2169.0,,,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,,,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173.0,27.0,27.0,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,
