pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-10 b,Transit,0,2,0.837491,0.000002,-0.000002,0,0.0172,0.00081,-0.00168,0,,,,,85.1,3.4,-4.3,0,0.0145,0.004,-0.0046,0,Mass,0.132,0.004,-0.003,0,8,3,-3,0,0,1,0,2,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,186.5,0.81,-0.81,0,186.5,0.81,-0.81,0,10.94,0.345,0,V (Johnson),10.919,,0,5708,28,-28,0,0.91,0.02,-0.02,0,1.06,0.01,-0.01,0,15/10/2015,Kepler
Kepler-10 c,Transit,0,2,45.2946,0.0008,-0.0008,0,,,,,,,,,,,,,0.02319,0.00415,-0.00374,0,Mass,,,,,3.14,0.63,-0.55,0,1,1,0,2,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,186.5,0.81,-0.81,0,186.5,0.81,-0.81,0,10.94,0.345,0,V (Johnson),10.919,,0,5708,28,-28,0,0.91,0.02,-0.02,0,1.06,0.01,-0.01,0,27/07/2017,Kepler
Kepler-100 b,Transit,0,3,6.88705,,,0,,,,,,,,,,,,,0.023,0.01,-0.01,0,Mass,0.118,0.004,-0.004,0,14.25,6.33,-6.33,0,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,307.34,1.77,-1.77,0,307.34,1.77,-1.77,0,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,14/05/2014,Kepler
Kepler-100 c,Transit,0,3,12.8159,,,0,,,,,,,,,,,,,0.02218,,,1,Mass,0.196,0.004,-0.004,0,,,,,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,307.34,1.77,-1.77,0,307.34,1.77,-1.77,0,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,13/10/2016,Kepler
Kepler-100 d,Transit,0,3,35.3331,,,0,,,,,,,,,,,,,0.00944,,,1,Mass,0.144,0.004,-0.004,0,,,,,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,307.34,1.77,-1.77,0,307.34,1.77,-1.77,0,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,13/10/2016,Kepler
Kepler-1000 b,Transit,0,1,120.0181272,0.0003628,-0.0003628,0,,,,,,,,,,,,,,,,,,0.425,0.03,-0.028,0,,,,,0,1,0,1,19h06m44.53s,286.685523,+47d05m53.6s,47.098221,925,51.17,-50.08,0,1152.75,17.7,-17.7,0,13.256,,0,Kepler-band,13.192,,0,6453,74.15,-73.42,0,1.4,0.04,-0.04,0,1.51,0.08,-0.07,0,10/05/2016,Kepler
Kepler-1001 b,Transit,0,2,14.30511983,0.0000434,-0.0000434,0,,,,,,,,,,,,,,,,,,0.281,0.03,-0.043,0,,,,,0,1,0,1,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,1009,107,-69.51,0,954.17,24.51,-24.51,0,15.338,,0,Kepler-band,15.33,,0,5491,66.16,-68.91,0,0.9,0.04,-0.04,0,0.88,0.09,-0.06,0,10/05/2016,Kepler
Kepler-1001 c,Transit,0,2,9.18186,,,0,,,,0,,,,0,,,,0,,,,0,,0.141,,,0,,,,0,0,1,0,0,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,1009,107,-69.51,0,954.17,24.51,-24.51,0,15.338,,0,Kepler-band,15.33,,0,5491,66.16,-68.91,0,0.9,0.04,-0.04,0,0.88,0.09,-0.06,0,03/09/2020,Kepler
Kepler-1002 b,Transit,0,1,4.33642933,0.00000695,-0.00000695,0,,,,,,,,,,,,,,,,,,0.153,0.005,-0.004,0,,,,,0,1,0,1,19h32m19.08s,293.079495,+43d04m25.4s,43.073715,425,14.56,-12.18,0,1432.94,1011.87,-1011.87,0,11.704,,0,Kepler-band,11.647,,0,6144,47.25,-61.08,0,1.22,0.05,-0.05,0,1.57,0.05,-0.04,0,10/05/2016,Kepler
Kepler-1003 b,Transit,0,1,3.55485691,0.00000671,-0.00000671,0,,,,,,,,,,,,,,,,,,0.159,0.043,-0.02,0,,,,,0,1,0,1,19h28m04.91s,292.020456,+44d52m34.4s,44.876217,873,239.6,-116.11,0,968.07,16.2,-16.2,0,14.053,,0,Kepler-band,14.023,,0,6109,150.04,-195.29,0,1.11,0.13,-0.08,0,1.17,0.32,-0.15,0,10/05/2016,Kepler
